# GENERATED by hc-conformance --write-counterfactual. One line per grammar-observable
# surface a fixture contains: the verdict, the fixture, what was neutralized, the
# observed delta, and the structural counter-example fields CoverageEvidencePipeline
# joins into an Evidence record (never re-derived from delta's free text). Absent
# fields are "-".
#   Evidenced        neutralizing it changed a result
#   RequiredByLoader the mutant would not load: HermitCrab's own loader threw (an
#                    IDREF/lookup/coercion failure) after passing DTD validation --
#                    a real engine-semantic witness, though not a word-level delta
#   EvidencedJointly only a joint mutation with an independent partner changed a result;
#                    weaker than Evidenced/RequiredByLoader, see CounterfactualGate.EvaluateJointly
#   RequiredByDtd    the mutant would not load: it failed generic DTD content-model
#                    validation before HermitCrab's loader ran at all -- this only
#                    re-derives Level 1's static DTD enumeration and is NOT equally
#                    conclusive with Evidenced; there is no parse-time witness
#   Timeout          the mutant did not finish in time, which is not evidence
#   Unobservable     neutralizing it changed nothing, which is not evidence
# fixture is the first-discovered fixture reaching verdict (its run is what mutation/
# delta/example describe); witnessed_by is EVERY fixture that reached the identical
# verdict, comma-separated, ALWAYS including fixture -- a tie is not a loss, see
# CounterfactualLedger.Sweep. FoldInCandidateLedger reads this to tell 'only an edge
# case witnesses this' from 'an edge case was merely recorded first'.
surface	verdict	fixture	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome	witnessed_by
dtd:enum/AffixTemplate/isActive/yes	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 AffixTemplate@isActive from "yes" to "no"	sibling "no" of 1 tried: 'takul': ok::TA+KUL|takul -> ok::-	takul	ok::TA+KUL|takul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/Allomorph/isActive/no	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 Allomorph@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'kol': ok::- -> ok::KUL|kol	kol	ok::-	Word	ok::KUL|kol	edge-cases/loader-isactive-breadth
dtd:enum/Allomorph/isActive/yes	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 Allomorph@isActive from "yes" to "no"	sibling "no" of 1 tried: 'kul': ok::KUL|kul -> ok::-	kul	ok::KUL|kul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/Allomorph/isBound/false	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 Allomorph@isBound from "false" to "true"	sibling "true" of 1 tried: 'kul': ok::KUL|kul -> ok::-	kul	ok::KUL|kul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/Allomorph/isBound/true	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 Allomorph@isBound from "true" to "false"	sibling "false" of 1 tried: 'kur': ok::- -> ok::KUL|kur	kur	ok::-	Word	ok::KUL|kur	edge-cases/morphotactic-attribute-breadth
dtd:enum/AllomorphCoOccurrenceRule/adjacency/adjacentToLeft	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 AllomorphCoOccurrenceRule@adjacency from "adjacentToLeft" to "adjacentToRight"	sibling "adjacentToRight" of 4 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/AllomorphCoOccurrenceRule/adjacency/adjacentToRight	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 AllomorphCoOccurrenceRule@adjacency from "adjacentToRight" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/AllomorphCoOccurrenceRule/adjacency/anywhere	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 1 AllomorphCoOccurrenceRule@adjacency from "anywhere" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'kantancha': ok::- -> ok::SING+3SG+CONJ|kantan(ch)a	kantancha	ok::-	Word	ok::SING+3SG+CONJ|kantan(ch)a	languages/suffixing-evidential-adjacency-chain
dtd:enum/AllomorphCoOccurrenceRule/adjacency/somewhereToLeft	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 2 AllomorphCoOccurrenceRule@adjacency from "somewhereToLeft" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/AllomorphCoOccurrenceRule/adjacency/somewhereToRight	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 AllomorphCoOccurrenceRule@adjacency from "somewhereToRight" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/AllomorphCoOccurrenceRule/isActive/no	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 AllomorphCoOccurrenceRule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/AllomorphCoOccurrenceRule/isActive/yes	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 1 AllomorphCoOccurrenceRule@isActive from "yes" to "no"	sibling "no" of 1 tried: 'kantancha': ok::- -> ok::SING+3SG+CONJ|kantan(ch)a	kantancha	ok::-	Word	ok::SING+3SG+CONJ|kantan(ch)a	languages/suffixing-evidential-adjacency-chain
dtd:enum/AllomorphCoOccurrenceRule/type/exclude	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 1 AllomorphCoOccurrenceRule@type from "exclude" to "require"	sibling "require" of 1 tried: 'kantay': ok::SING+1SG|kantay -> ok::-	kantay	ok::SING+1SG|kantay	Word	ok::-	languages/suffixing-evidential-adjacency-chain
dtd:enum/AllomorphCoOccurrenceRule/type/require	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 5 AllomorphCoOccurrenceRule@type from "require" to "exclude"	sibling "exclude" of 1 tried: 'sol': ok::- -> ok::SOL|sol	sol	ok::-	Word	ok::SOL|sol	edge-cases/morphotactic-attribute-breadth
dtd:enum/AlphaVariable/polarity/minus	Evidenced	edge-cases/alpha-variable-name-collision	rewrote 2 AlphaVariable@polarity from "minus" to "plus"	sibling "plus" of 1 tried: 'au': ok::- -> ok::AU|au	au	ok::-	Word	ok::AU|au	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth
dtd:enum/AlphaVariable/polarity/plus	Evidenced	edge-cases/alpha-variable-name-collision	rewrote 2 AlphaVariable@polarity from "plus" to "minus"	sibling "minus" of 1 tried: 'au': ok::- -> ok::AU|au	au	ok::-	Word	ok::AU|au	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth
dtd:enum/BoundaryDefinition/isActive/no	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 BoundaryDefinition@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'kul=': SKIPPED::- -> ok::-	kul=	SKIPPED::-	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/BoundaryDefinition/isActive/yes	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 1 BoundaryDefinition@isActive from "yes" to "no"	sibling "no" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. SIL.Machine.Morphology.HermitCrab.InvalidShapeException: The shape, +, contains an undefined phonem...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. SIL.Machine.Morphology.HermitCrab.InvalidShapeException: The shape, +, contains an undefined phonem...	edge-cases/loader-isactive-breadth
dtd:enum/CharacterDefinitionTable/isActive/no	EvidencedJointly	edge-cases/loader-isactive-breadth	rewrote 1 CharacterDefinitionTable@isActive from "no" to "yes"; jointly activated its sole referencing <Stratum> (TableDecoyStratum) via characterDefinitionTable="tableDecoy", itself rewritten from isActive="no" to "yes"	three-run: target alone (rewrote 1 CharacterDefinitionTable@isActive from "no" to "yes") -> Unobservable (all 18 word(s) unchanged); partner alone (activated only its referencing <Stratum> (TableDecoyStratum) via characterDefinitionTable="tableDecoy", while CharacterDefinitionTable@isActive stayed "no") -> RequiredByLoader (InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'tableDecoy' was not present in the ...); both jointly (rewrote 1 CharacterDefinitionTable@isActive from "no" to "yes"; jointly activated its sole referencing <Stratum> (TableDecoyStratum) via characterDefinitionTable="tableDecoy", itself rewritten from isActive="no" to "yes") -> Evidenced ('kul': ok::KUL|kul -> SKIPPED::-)	kul	ok::KUL|kul	Word	SKIPPED::-	edge-cases/loader-isactive-breadth
dtd:enum/CharacterDefinitionTable/isActive/yes	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 1 CharacterDefinitionTable@isActive from "yes" to "no"	sibling "no" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'tableLive' was not present in the d...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'tableLive' was not present in the d...	edge-cases/loader-isactive-breadth
dtd:enum/ComplexFeature/isActive/no	EvidencedJointly	edge-cases/feature-system-breadth	rewrote 1 ComplexFeature@isActive from "no" to "yes"; jointly activated its sole referencing <LexicalEntry> (eDecCf) via feature="cfDecoy", itself rewritten from isActive="no" to "yes"	three-run: target alone (rewrote 1 ComplexFeature@isActive from "no" to "yes") -> Unobservable (all 18 word(s) unchanged); partner alone (activated only its referencing <LexicalEntry> (eDecCf) via feature="cfDecoy", while ComplexFeature@isActive stayed "no") -> RequiredByLoader (InvalidOperationException: Unhandled exception. System.ArgumentException: The feature 'cfDecoy' could not be found. (Parameter 'id')    at SIL.Mach...); both jointly (rewrote 1 ComplexFeature@isActive from "no" to "yes"; jointly activated its sole referencing <LexicalEntry> (eDecCf) via feature="cfDecoy", itself rewritten from isActive="no" to "yes") -> Evidenced ('tal': ok::- -> ok::TAL|tal)	tal	ok::-	Word	ok::TAL|tal	edge-cases/feature-system-breadth
dtd:enum/CompoundingRule/blockable/false	Evidenced	languages/fusional-realizational-morphology	rewrote 2 CompoundingRule@blockable from "false" to "true"	sibling "true" of 1 tried: 'corriv': ok::BLOCKHEAD+BLOCKNON|cor+?riv -> ok::-	corriv	ok::BLOCKHEAD+BLOCKNON|cor+?riv	Word	ok::-	languages/fusional-realizational-morphology
dtd:enum/CompoundingRule/blockable/true	Evidenced	languages/fusional-realizational-morphology	rewrote 1 CompoundingRule@blockable from "true" to "false"	sibling "false" of 1 tried: 'genlav': ok::- -> ok::GEN+LAV|gen+?lav	genlav	ok::-	Word	ok::GEN+LAV|gen+?lav	languages/fusional-realizational-morphology
dtd:enum/CompoundingRule/isActive/no	Evidenced	edge-cases/compounding-breadth	rewrote 1 CompoundingRule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'kaptu': ok::- -> ok::KA+TU|kaptu	kaptu	ok::-	Word	ok::KA+TU|kaptu	edge-cases/compounding-breadth
dtd:enum/CompoundingRule/multipleApplication/0	Evidenced	edge-cases/compounding-breadth	rewrote 1 CompoundingRule@multipleApplication from "0" to "1"	sibling "1" of 9 tried: 'kamtu': ok::- -> ok::KA+TU|kamtu	kamtu	ok::-	Word	ok::KA+TU|kamtu	edge-cases/compounding-breadth
dtd:enum/CompoundingSubrule/isActive/no	Evidenced	edge-cases/compounding-breadth	rewrote 1 CompoundingSubrule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'kaitu': ok::- -> ok::KA+TU|kaitu	kaitu	ok::-	Word	ok::KA+TU|kaitu	edge-cases/compounding-breadth
dtd:enum/Family/isActive/no	EvidencedJointly	edge-cases/loader-isactive-breadth	rewrote 1 Family@isActive from "no" to "yes"; jointly activated its sole referencing <LexicalEntry> (eTupDecoy) via family="famDecoy", itself rewritten from isActive="no" to "yes"	three-run: target alone (rewrote 1 Family@isActive from "no" to "yes") -> Unobservable (all 18 word(s) unchanged); partner alone (activated only its referencing <LexicalEntry> (eTupDecoy) via family="famDecoy", while Family@isActive stayed "no") -> RequiredByLoader (InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'famDecoy' was not present in the di...); both jointly (rewrote 1 Family@isActive from "no" to "yes"; jointly activated its sole referencing <LexicalEntry> (eTupDecoy) via family="famDecoy", itself rewritten from isActive="no" to "yes") -> Evidenced ('tup': ok::- -> ok::TUP|tup)	tup	ok::-	Word	ok::TUP|tup	edge-cases/loader-isactive-breadth
dtd:enum/Family/isActive/yes	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 1 Family@isActive from "yes" to "no"	sibling "no" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'famLive' was not present in the dic...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'famLive' was not present in the dic...	edge-cases/loader-isactive-breadth
dtd:enum/FeatureNaturalClass/isActive/no	EvidencedJointly	edge-cases/feature-system-breadth	rewrote 1 FeatureNaturalClass@isActive from "no" to "yes"; jointly activated its sole referencing <PhonologicalRule> (prDecFnc) via naturalClass="ncFDecoy", itself rewritten from isActive="no" to "yes"	three-run: target alone (rewrote 1 FeatureNaturalClass@isActive from "no" to "yes") -> Unobservable (all 18 word(s) unchanged); partner alone (activated only its referencing <PhonologicalRule> (prDecFnc) via naturalClass="ncFDecoy", while FeatureNaturalClass@isActive stayed "no") -> RequiredByLoader (InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'ncFDecoy' was not present in the di...); both jointly (rewrote 1 FeatureNaturalClass@isActive from "no" to "yes"; jointly activated its sole referencing <PhonologicalRule> (prDecFnc) via naturalClass="ncFDecoy", itself rewritten from isActive="no" to "yes") -> Evidenced ('ik': ok::AK|ik -> ok::-)	ik	ok::AK|ik	Word	ok::-	edge-cases/feature-system-breadth,edge-cases/loader-isactive-breadth
dtd:enum/FeatureNaturalClass/isActive/yes	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 1 FeatureNaturalClass@isActive from "yes" to "no"	sibling "no" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'ncAny' was not present in the dicti...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'ncAny' was not present in the dicti...	edge-cases/loader-isactive-breadth
dtd:enum/FeatureValue/isActive/no	Evidenced	edge-cases/feature-system-breadth	rewrote 1 FeatureValue@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'ts': ok::TS|ts -> ok::-	ts	ok::TS|ts	Word	ok::-	edge-cases/feature-system-breadth
dtd:enum/Language/isActive/no	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 1 Language@isActive from "no" to "yes"	sibling "yes" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.InvalidOperationException: Sequence contains more than one matching element    at System.Lin...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidOperationException: Sequence contains more than one matching element    at System.Lin...	edge-cases/loader-isactive-breadth
dtd:enum/Language/isActive/yes	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 1 Language@isActive from "yes" to "no"	sibling "no" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.InvalidOperationException: Sequence contains no matching element    at System.Linq.ThrowHelp...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidOperationException: Sequence contains no matching element    at System.Linq.ThrowHelp...	edge-cases/loader-isactive-breadth
dtd:enum/LexicalEntry/isActive/no	RequiredByLoader	edge-cases/feature-system-breadth	rewrote 1 LexicalEntry@isActive from "no" to "yes"	sibling "yes" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.ArgumentException: The feature 'cfDecoy' could not be found. (Parameter 'id')    at SIL.Mach...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.ArgumentException: The feature 'cfDecoy' could not be found. (Parameter 'id')    at SIL.Mach...	edge-cases/feature-system-breadth,edge-cases/loader-isactive-breadth
dtd:enum/LexicalEntry/isActive/yes	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 LexicalEntry@isActive from "yes" to "no"	sibling "no" of 1 tried: 'kul': ok::KUL|kul -> ok::-	kul	ok::KUL|kul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/LexicalEntry/partial/false	Evidenced	edge-cases/loader-isactive-breadth	rewrote 1 LexicalEntry@partial from "false" to "true"	sibling "true" of 1 tried: 'takul': ok::TA+KUL|takul -> ok::-	takul	ok::TA+KUL|takul	Word	ok::-	edge-cases/loader-isactive-breadth
dtd:enum/LexicalEntry/partial/true	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 LexicalEntry@partial from "true" to "false"	sibling "false" of 1 tried: 'napmo': ok::- -> ok::NAP+PART|napmo	napmo	ok::-	Word	ok::NAP+PART|napmo	edge-cases/morphotactic-attribute-breadth
dtd:enum/MetathesisRule/isActive/no	Evidenced	edge-cases/feature-system-breadth	rewrote 1 MetathesisRule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'ka': ok::KA|ka -> threw::InvalidOperationException	ka	ok::KA|ka	Word	threw::InvalidOperationException	edge-cases/feature-system-breadth
dtd:enum/MetathesisRule/multipleApplicationOrder/rightToLeftIterative	Evidenced	edge-cases/feature-system-breadth	rewrote 2 MetathesisRule@multipleApplicationOrder from "rightToLeftIterative" to "leftToRightIterative"	sibling "leftToRightIterative" of 1 tried: 'tlk': ok::TKL|tlk -> ok::-	tlk	ok::TKL|tlk	Word	ok::-	edge-cases/feature-system-breadth
dtd:enum/MorphemeCoOccurrenceRule/adjacency/adjacentToLeft	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 1 MorphemeCoOccurrenceRule@adjacency from "adjacentToLeft" to "adjacentToRight"	sibling "adjacentToRight" of 4 tried: 'walakniwas': ok::WALAK+1SG+MIR|walakniwas -> ok::-	walakniwas	ok::WALAK+1SG+MIR|walakniwas	Word	ok::-	languages/suffixing-evidential-adjacency-chain
dtd:enum/MorphemeCoOccurrenceRule/adjacency/adjacentToRight	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 1 MorphemeCoOccurrenceRule@adjacency from "adjacentToRight" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'sipulupami': ok::SIPU+2PL+DIR|sipulupami -> ok::-	sipulupami	ok::SIPU+2PL+DIR|sipulupami	Word	ok::-	languages/suffixing-evidential-adjacency-chain
dtd:enum/MorphemeCoOccurrenceRule/adjacency/anywhere	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 2 MorphemeCoOccurrenceRule@adjacency from "anywhere" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth,languages/suffixing-evidential-adjacency-chain,languages/templatic-root-modification
dtd:enum/MorphemeCoOccurrenceRule/adjacency/somewhereToLeft	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 1 MorphemeCoOccurrenceRule@adjacency from "somewhereToLeft" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'walaknichiktan': ok::WALAK+1SG+PL+ASSUM|walakni(ch)iktan -> ok::-	walaknichiktan	ok::WALAK+1SG+PL+ASSUM|walakni(ch)iktan	Word	ok::-	languages/suffixing-evidential-adjacency-chain
dtd:enum/MorphemeCoOccurrenceRule/adjacency/somewhereToRight	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 1 MorphemeCoOccurrenceRule@adjacency from "somewhereToRight" to "adjacentToLeft"	sibling "adjacentToLeft" of 4 tried: 'siputukumi': ok::SIPU+1PL.INCL+DIR|siputukumi -> ok::-	siputukumi	ok::SIPU+1PL.INCL+DIR|siputukumi	Word	ok::-	languages/suffixing-evidential-adjacency-chain
dtd:enum/MorphemeCoOccurrenceRule/isActive/no	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 MorphemeCoOccurrenceRule@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/MorphemeCoOccurrenceRule/isActive/yes	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 6 MorphemeCoOccurrenceRule@isActive from "yes" to "no"	sibling "no" of 1 tried: 'walakntan': ok::- -> ok::WALAK+3SG+ASSUM|walakntan	walakntan	ok::-	Word	ok::WALAK+3SG+ASSUM|walakntan	languages/suffixing-evidential-adjacency-chain,languages/templatic-root-modification
dtd:enum/MorphemeCoOccurrenceRule/type/exclude	Evidenced	languages/suffixing-evidential-adjacency-chain	rewrote 2 MorphemeCoOccurrenceRule@type from "exclude" to "require"	sibling "require" of 1 tried: 'sipuncha': ok::SIPU+3SG+CONJ|sipun(ch)a -> ok::-	sipuncha	ok::SIPU+3SG+CONJ|sipun(ch)a	Word	ok::-	languages/suffixing-evidential-adjacency-chain,languages/templatic-root-modification
dtd:enum/MorphemeCoOccurrenceRule/type/require	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 MorphemeCoOccurrenceRule@type from "require" to "exclude"	sibling "exclude" of 1 tried: 'topsakatana': ok::TOP+COA+COB+COC+COD|topsakatana -> ok::-	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	edge-cases/morphotactic-attribute-breadth,languages/suffixing-evidential-adjacency-chain
dtd:enum/MorphologicalOutput/redupMorphType/prefix	Evidenced	languages/metathesis-phase-isolation	rewrote 2 MorphologicalOutput@redupMorphType from "prefix" to "implicit"	sibling "implicit" of 2 tried: 'tulatula': ok::RDPL+TULA|tulatula -> ok::TULA+RDPL|tulatula	tulatula	ok::RDPL+TULA|tulatula	Word	ok::TULA+RDPL|tulatula	languages/metathesis-phase-isolation
dtd:enum/MorphologicalOutput/redupMorphType/suffix	Evidenced	languages/suffixing-extension-slot-ordering	rewrote 1 MorphologicalOutput@redupMorphType from "suffix" to "prefix"	sibling "prefix" of 2 tried: 'kimbiakimbia': ok::KIMB+RED|kimbiakimbia -> ok::RED+KIMB|kimbiakimbia	kimbiakimbia	ok::KIMB+RED|kimbiakimbia	Word	ok::RED+KIMB|kimbiakimbia	languages/suffixing-extension-slot-ordering
dtd:enum/MorphologicalPhonologicalRuleFeature/isActive/no	EvidencedJointly	edge-cases/loader-isactive-breadth	rewrote 1 MorphologicalPhonologicalRuleFeature@isActive from "no" to "yes"; jointly activated its sole referencing <LexicalEntry> (ePutDecoy) via ruleFeatures="mprDecoy", itself rewritten from isActive="no" to "yes"	three-run: target alone (rewrote 1 MorphologicalPhonologicalRuleFeature@isActive from "no" to "yes") -> Unobservable (all 18 word(s) unchanged); partner alone (activated only its referencing <LexicalEntry> (ePutDecoy) via ruleFeatures="mprDecoy", while MorphologicalPhonologicalRuleFeature@isActive stayed "no") -> RequiredByLoader (InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'mprDecoy' was not present in the di...); both jointly (rewrote 1 MorphologicalPhonologicalRuleFeature@isActive from "no" to "yes"; jointly activated its sole referencing <LexicalEntry> (ePutDecoy) via ruleFeatures="mprDecoy", itself rewritten from isActive="no" to "yes") -> Evidenced ('put': ok::- -> ok::PUT|put)	put	ok::-	Word	ok::PUT|put	edge-cases/loader-isactive-breadth
dtd:enum/MorphologicalPhonologicalRuleFeature/isActive/yes	RequiredByLoader	edge-cases/loader-isactive-breadth	rewrote 1 MorphologicalPhonologicalRuleFeature@isActive from "yes" to "no"	sibling "no" of 1 tried (RequiredByLoader; no sibling produced word-level evidence): InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'mprLive' was not present in the dic...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Collections.Generic.KeyNotFoundException: The given key 'mprLive' was not present in the dic...	edge-cases/loader-isactive-breadth
dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/isActive/no	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 MorphologicalPhonologicalRuleFeatureGroup@isActive from "no" to "yes"	sibling "yes" of 1 tried: 'kulbubidu': ok::KUL+MB+MA+MREQ|kulbubidu -> ok::-	kulbubidu	ok::KUL+MB+MA+MREQ|kulbubidu	Word	ok::-	edge-cases/morphotactic-attribute-breadth
dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/isActive/yes	Evidenced	languages/fusional-realizational-morphology	rewrote 3 MorphologicalPhonologicalRuleFeatureGroup@isActive from "yes" to "no"	sibling "no" of 1 tried: 'yxpedz': ok::- -> ok::THEMEY+THEMEX+PED+ENDZ|yxpedz	yxpedz	ok::-	Word	ok::THEMEY+THEMEX+PED+ENDZ|yxpedz	languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/matchType/all	Evidenced	languages/fusional-realizational-morphology	rewrote 1 MorphologicalPhonologicalRuleFeatureGroup@matchType from "all" to "any"	sibling "any" of 1 tried: 'sodw': ok::- -> ok::SOD+ENDW|sodw	sodw	ok::-	Word	ok::SOD+ENDW|sodw	languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/matchType/any	Evidenced	languages/fusional-realizational-morphology	rewrote 2 MorphologicalPhonologicalRuleFeatureGroup@matchType from "any" to "all"	sibling "all" of 1 tried: 'sodh': ok::SOD+ENDH|sodh -> ok::-	sodh	ok::SOD+ENDH|sodh	Word	ok::-	languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/outputType/append	Evidenced	edge-cases/morphotactic-attribute-breadth	rewrote 1 MorphologicalPhonologicalRuleFeatureGroup@outputType from "append" to "overwrite"	sibling "overwrite" of 1 tried: 'kulbubidu': ok::KUL+MB+MA+MREQ|kulbubidu -> ok::-	kulbubidu	ok::KUL+MB+MA+MREQ|kulbubidu	Word	ok::-	edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-overwrite-order-dependence
dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/outputType/overwrite	Evidenced	edge-cases/mpr-group-overwrite-without-realizational	rewrote 1 MorphologicalPhonologicalRuleFeatureGroup@outputType from "overwrite" to "append"	sibling "append" of 1 tried: 'wudofq': ok::- -> ok::THEMEB+THEMEA+DOF+ENDC|wudofq	wudofq	ok::-	Word	ok::THEMEB+THEMEA+DOF+ENDC|wudofq	edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
